identity_id,skin_tone,gender,age
034,Light,Female,Young
026,Medium,Female,Young
100,Dark,Male,Young
085,Light,Male,Middle-aged
079,Medium,Female,Middle-aged
082,Dark,Female,Middle-aged
022,Light,Male,Senior
094,Medium,Male,Senior
083,Dark,Female,Senior
002,Light,Female,Young
023,Medium,Male,Young
001,Dark,Male,Young
062,Light,Female,Middle-aged
074,Medium,Female,Middle-aged
025,Dark,Male,Middle-aged
050,Light,Male,Senior
027,Medium,Female,Senior
045,Dark,Female,Senior
077,Light,Male,Young
080,Medium,Male,Young
048,Dark,Female,Young
003,Light,Female,Middle-aged
052,Medium,Male,Middle-aged
039,Dark,Male,Middle-aged
015,Light,Female,Senior
049,Medium,Female,Senior
011,Dark,Male,Senior
033,Light,Male,Young
017,Medium,Female,Young
095,Dark,Female,Young
066,Light,Male,Middle-aged
070,Medium,Male,Middle-aged
043,Dark,Female,Middle-aged
060,Light,Female,Senior
089,Medium,Male,Senior
099,Dark,Male,Senior
067,Light,Female,Young
092,Medium,Female,Young
058,Dark,Male,Young
030,Light,Male,Middle-aged
