trial,mode,challenge,status,security_outcome,duration_seconds,detail
1,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_001.jpg, EAR=0.354 if ear_val else N/A, yaw=-18.8 if yaw_val else N/A"
2,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_002.jpg, EAR=0.370 if ear_val else N/A, yaw=-23.2 if yaw_val else N/A"
3,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_003.jpg, EAR=0.362 if ear_val else N/A, yaw=18.8 if yaw_val else N/A"
4,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_004.jpg, EAR=0.362 if ear_val else N/A, yaw=-12.9 if yaw_val else N/A"
5,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_005.jpg, EAR=0.351 if ear_val else N/A, yaw=-9.2 if yaw_val else N/A"
6,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_001.jpg, EAR=0.570 if ear_val else N/A, yaw=-58.9 if yaw_val else N/A"
7,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_002.jpg, EAR=0.626 if ear_val else N/A, yaw=-58.9 if yaw_val else N/A"
8,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_003.jpg, EAR=0.416 if ear_val else N/A, yaw=-45.0 if yaw_val else N/A"
9,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_004.jpg, EAR=0.365 if ear_val else N/A, yaw=-39.9 if yaw_val else N/A"
10,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_005.jpg, EAR=0.460 if ear_val else N/A, yaw=-53.2 if yaw_val else N/A"
11,live_genuine,active_liveness_turn_left,pass,Genuine Verified (good),0.05,"filename=left_006.jpg, EAR=0.391 if ear_val else N/A, yaw=-32.0 if yaw_val else N/A"
12,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_001.jpg, EAR=0.454 if ear_val else N/A, yaw=63.4 if yaw_val else N/A"
13,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_002.jpg, EAR=0.505 if ear_val else N/A, yaw=58.9 if yaw_val else N/A"
14,live_genuine,active_liveness_turn_right,pass,Genuine Verified (good),0.05,"filename=right_003.jpg, EAR=0.419 if ear_val else N/A, yaw=47.9 if yaw_val else N/A"
1,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_001.jpg, EAR=0.354, yaw=-18.8"
2,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_002.jpg, EAR=0.370, yaw=-23.2"
3,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_003.jpg, EAR=0.362, yaw=18.8"
4,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_004.jpg, EAR=0.362, yaw=-12.9"
5,live_genuine,active_liveness_blink_open,pass,Genuine Verified (good),0.05,"filename=front_005.jpg, EAR=0.351, yaw=-9.2"
